GNB-w2v,0.712,0.598,0.614,0.592,0.907
GNB-infercent,0.743,0.642,0.707,0.658,0.921
LR-w2v,0.908,0.866,0.866,0.866,0.989
LR-infercent,0.964,0.965,0.940,0.952,0.999
SGD-w2v,0.880,0.885,0.809,0.837,0.941
SGD-infercent,0.960,0.957,0.947,0.951,0.988
SVM-w2v,0.915,0.924,0.806,0.845,0.993
Adaboost-w2v,0.744,0.624,0.624,0.619,0.880
SVM-infercent,0.957,0.965,0.931,0.947,0.998
GBoost-w2v,0.892,0.887,0.769,0.803,0.985
Adaboost-infercent,0.622,0.609,0.626,0.607,0.759
GBoost-infercent,0.955,0.951,0.937,0.943,0.997
XGBoost-w2v,0.915,0.912,0.819,0.853,0.993
XGBoost-infercent,0.966,0.971,0.958,0.964,0.999
